id,customerName,level,month,day,year,resTime
10604,Hannah Young,High,5,5,2023,143
10605,Xander Jackson,Low,3,6,2025,93
10606,Ivan Turing,Critical,8,17,2025,159
10607,Kevin White,Medium,3,3,2024,258
10608,Diana White,Medium,7,15,2026,5
10609,Carlos Williams,High,4,18,2025,258
10610,Grace Taylor,Critical,4,5,2026,198
10611,Kevin Thomas,Medium,12,26,2024,344
10612,David Jobs,Critical,10,4,2025,21
10613,Grace Jackson,Medium,10,7,2023,223
10614,Heidi Lewis,High,9,28,2026,289
10615,Niaj Nelson,High,3,9,2024,276
10616,Wendy Baker,High,3,10,2024,251
10617,Elon Lopez,Medium,7,23,2025,261
10618,Carlos Brown,Medium,3,2,2023,357
10619,Aaron Wilson,Low,12,11,2024,34
10620,Xander Zuckerberg,Critical,8,7,2026,281
10621,Mallory LovelacePoe,Critical,11,27,2023,135
10622,Diana Thompson,Medium,5,6,2024,79
10623,Ivan Moore,Low,11,20,2025,129
10624,Ada Jobs,Medium,9,21,2026,349
10625,Fiona Nelson,Low,4,25,2025,338
10626,Zach Zuckerberg,Critical,1,17,2025,239
10627,Trent Jones,Critical,5,14,2024,322
10628,Linda Adams,Low,7,19,2024,337
10629,Jeff Phillips,Low,10,23,2026,133
10630,Grace Gates,High,4,17,2026,224
10631,Ivan LovelacePoe,Medium,4,18,2025,307
10632,Diana Lee,Medium,4,11,2024,97
10633,David Baker,Medium,8,6,2026,365
10634,Zach Gonzalez,Critical,10,1,2023,250
10635,Tim Gonzalez,Critical,10,15,2026,276
10636,Beth Scott,Medium,9,11,2025,272
10637,Bob Smith,Critical,9,23,2025,358
10638,Grace Williams,Medium,3,9,2024,263
10639,Jasmine Phillips,Low,3,25,2025,14
10640,Beth Martin,High,4,19,2024,353
10641,Karl Allen,High,9,3,2023,249
10642,Ada Zuckerberg,Low,11,20,2025,259
10643,Sky Anderson,Critical,4,20,2025,362
10644,Olivia LovelacePoe,High,12,15,2026,316
10645,Beth Nelson,High,1,6,2024,110
10646,Sybil Garcia,High,10,28,2025,319
10647,Carlos Mitchell,Critical,11,26,2023,224
10648,Trent Perez,Medium,7,16,2023,219
10649,Karl Nelson,Low,11,22,2024,329
10650,Linus Musk,Medium,7,5,2024,217
10651,Grace Williams,High,5,24,2025,281
10652,Fiona Carter,Medium,3,19,2023,203
10653,Nancy Perez,High,4,9,2025,295
10654,Laura Johnson,Critical,8,2,2023,156
10655,Victor LovelacePoe,High,3,17,2024,56
10656,Elon Moore,High,10,14,2025,336
10657,Hannah Green,Low,5,28,2023,255
10658,Ethan King,Critical,9,17,2025,158
10659,Aaron Smith,Critical,9,1,2025,233
10660,Yvonne Williams,High,10,26,2023,134
10661,Mallory Musk,Medium,4,14,2024,2
10662,Alan Turner,High,12,11,2023,25
10663,Laura Miles,Medium,1,1,2025,24
10664,Olivia Lewis,Low,7,4,2024,254
10665,Uma Jobs,Low,8,2,2025,193
10666,Olivia Miller,Critical,2,28,2023,304
10667,Rupert King,Medium,4,3,2023,119
10668,Trent Harris,Medium,11,1,2023,130
10669,Peggy Mitchell,Medium,11,9,2025,259
10670,Uma Miles,Critical,8,28,2023,356
10671,Eve Lewis,High,11,22,2024,358
10672,Mallory Jobs,Low,2,7,2025,305
10673,Karl Garcia,High,9,20,2026,363
10674,Trent Phillips,High,7,1,2026,72
10675,Wendy Moore,Critical,9,10,2026,92
10676,Alan Ross,Critical,6,2,2023,335
10677,Victor Brown,Critical,8,27,2023,278
10678,Bill Williams,High,3,2,2026,363
10679,Diana Jobs,Critical,12,14,2024,39
10680,Heidi Perez,High,11,11,2023,278
10681,Hannah Wilson,Critical,2,17,2024,268
10682,Zach Brown,High,9,1,2025,241
10683,Nancy Green,Critical,6,3,2024,28
10684,Olivia Thomas,Low,3,12,2026,62
10685,Grace Gates,Low,3,16,2023,141
10686,Diana Johnson,Low,4,12,2023,46
10687,Carlos Ross,High,7,17,2024,140
10688,Quentin Roberts,High,2,7,2026,59
10689,Bill Roberts,High,7,17,2026,21
10690,Ethan Nelson,High,9,1,2023,93
10691,Steve Thompson,High,7,23,2026,165
10692,Elon Musk,Low,3,27,2024,203
10693,Bill Lopez,Low,7,4,2023,124
10694,Aaron Smith,High,9,6,2023,35
10695,Carol Jobs,High,10,20,2026,113
10696,Yvonne Mitchell,Medium,5,6,2023,141
10697,Jasmine Walker,Medium,5,16,2026,5
10698,Tim Davis,Medium,6,17,2025,1
10699,George Ross,Medium,3,11,2023,194
10700,Karl Miller,High,2,1,2023,106
10701,Mallory Gates,Medium,2,17,2024,271
10702,Beth Gonzalez,Critical,6,1,2023,239
10703,Xander Johnson,High,11,6,2023,66
10704,Quentin Miller,Medium,3,23,2023,285
10705,Frank Hill,Medium,1,15,2025,163
10706,Judy Martin,Critical,7,5,2024,230
10707,Victor Johnson,High,9,4,2025,179
10708,Fiona Taylor,Low,5,15,2024,339
10709,Bill Green,Critical,1,12,2025,315
10710,Ian Moore,Low,1,18,2023,89
10711,Elon Davis,Low,11,26,2023,361
10712,Tim Scott,Low,10,2,2025,330
10713,Aaron Smith,High,10,19,2026,40
10714,Eve King,Low,2,27,2023,331
10715,Heidi Moore,High,12,3,2024,158
10716,Beth Brown,Medium,10,25,2025,109
10717,Grace Davis,High,2,20,2025,287
10718,Jeff Turing,Medium,11,14,2023,107
10719,Wendy Thomas,Medium,4,16,2026,218
10720,Tim Jackson,Low,6,10,2023,218
10721,Jasmine Moore,High,10,24,2025,347
10722,Niaj Gates,Medium,3,16,2024,91
10723,Rupert Baker,Low,7,18,2024,44
10724,Sky Gates,High,11,24,2025,22
10725,Aaron Green,High,9,11,2025,218
10726,Laura Williams,Medium,12,12,2025,310
10727,Xander Davis,Critical,7,8,2025,231
10728,Aaron Jobs,High,1,24,2026,63
10729,Wendy Hernandez,High,1,1,2026,277
10730,Beth Anderson,Low,5,4,2024,39
10731,Peggy Taylor,High,7,24,2026,69
10732,Ethan Davis,Medium,11,16,2025,277
10733,Ian Lewis,Medium,3,17,2023,152
10734,Heidi Garcia,Low,11,20,2023,108
10735,Rupert Perez,Critical,6,9,2025,52
10736,Linda Mitchell,Medium,1,4,2024,96
10737,Uma Thomas,High,4,24,2025,158
10738,Grace Johnson,Medium,10,3,2024,63
10739,Karl Jobs,Medium,1,27,2024,135
10740,George Zuckerberg,High,8,14,2026,72
10741,George Turing,Low,6,24,2026,223
10742,Mike Adams,Low,3,15,2024,60
10743,Laura Allen,High,5,26,2025,104
10744,Rupert Johnson,Medium,1,20,2025,327
10745,Rupert Martin,Critical,7,16,2024,253
10746,Linus Allen,Low,3,25,2024,158
10747,Diana Taylor,Low,6,16,2026,170
10748,Grace Jones,Low,8,24,2023,350
10749,Carlos Williams,Low,3,25,2023,239
10750,Olivia King,High,10,3,2025,182
10751,Rupert Adams,Low,4,21,2026,49
10752,Elon Turing,Low,1,15,2025,61
10753,Mark Allen,High,2,17,2024,303
10754,Alice Perez,Medium,6,26,2025,17
10755,George Nelson,Medium,6,14,2025,123
10756,Victor Baker,Medium,9,23,2025,59
10757,Ian Martin,Low,5,15,2023,48
10758,Kevin Martin,Critical,5,8,2023,25
10759,Mallory Garcia,Medium,2,13,2025,18
10760,David Turing,High,4,7,2025,287
10761,David Green,Medium,4,1,2023,12
10762,Nancy Nelson,Medium,9,21,2023,35
10763,Ian Scott,Medium,12,26,2023,16
10764,Alice Thomas,Critical,12,14,2025,238
10765,Jasmine Mitchell,Medium,3,23,2023,240
10766,Peggy Young,Medium,9,18,2023,110
10767,Elon Brown,Critical,5,11,2023,74
10768,Olivia Ross,High,2,14,2025,357
10769,Judy Miles,Medium,3,21,2026,217
10770,Eve Lee,Medium,11,12,2026,217
10771,Mark LovelacePoe,Critical,5,7,2026,66
10772,Grace Hall,Critical,6,28,2023,27
10773,Carlos Ross,High,7,7,2026,49
10774,Quentin Lee,Critical,11,10,2026,147
10775,Niaj Johnson,Medium,2,5,2023,33
10776,Karl Martin,Medium,9,8,2025,99
10777,Yvonne Roberts,High,8,11,2023,110
10778,Xander Hernandez,Medium,3,9,2026,205
10779,Aaron Smith,High,9,9,2025,93
10780,Bill Taylor,Low,10,5,2024,315
10781,Yvonne Taylor,Low,4,11,2025,212
10782,Uma Thompson,High,6,19,2026,303
10783,Niaj Anderson,Medium,5,21,2025,16
10784,Beth Brown,Critical,7,1,2026,177
10785,George Carter,Medium,3,13,2026,77
10786,Linda Turing,Medium,10,9,2023,130
10787,Eve Carter,Medium,10,23,2024,48
10788,Olivia Phillips,Critical,1,22,2026,60
10789,Fiona King,Medium,4,27,2024,12
10790,Mike Davis,Low,3,23,2023,7
10791,Jeff Martin,High,1,2,2025,146
10792,Sky Wilson,Low,3,26,2024,186
10793,Sybil White,Medium,4,22,2023,74
10794,Jasmine Anderson,Medium,10,26,2024,284
10795,Linus Ross,Low,8,22,2024,93
10796,Elon Wright,Low,10,16,2023,75
10797,Yvonne Jobs,High,6,26,2024,197
10798,Eve Lee,High,8,2,2025,74
10799,Mallory Martin,Medium,5,25,2024,321
10800,Linus LovelacePoe,Critical,11,11,2024,99
10801,Laura Miller,High,9,8,2023,278
10802,Yvonne Miles,Critical,1,26,2026,10
10803,Linus Adams,Critical,8,4,2026,267
10804,Trent White,Medium,11,19,2026,58
10805,Diana Miller,Critical,9,20,2023,211
10806,Jeff Anderson,Medium,9,9,2026,336
10807,Victor Lee,High,6,24,2026,68
10808,Ada King,Low,1,15,2024,292
10809,Ada Anderson,Medium,1,8,2025,1
10810,Aaron Roberts,Critical,8,8,2023,76
10811,Jasmine Thompson,Critical,6,14,2026,281
10812,Uma Martin,Medium,9,6,2026,265
10813,Kevin Taylor,Medium,5,28,2023,47
10814,Rupert Lewis,Low,9,19,2025,226
10815,Carlos Brown,Medium,5,3,2023,345
10816,Heidi Green,Low,5,13,2025,87
10817,Diana Zuckerberg,Low,3,14,2025,120
10818,Uma King,Critical,9,23,2023,131
10819,Carlos Hill,Medium,10,24,2023,254
10820,Alice Lee,High,9,10,2026,183
10821,Eve Roberts,High,3,7,2023,162
10822,Grace Zuckerberg,Low,7,14,2024,155
10823,Zach Hall,Critical,8,27,2023,186
10824,Olivia Perez,High,7,4,2023,88
10825,Niaj White,Low,3,20,2024,100
10826,Tim Harris,Critical,6,9,2025,230
10827,Bob Davis,High,9,8,2025,185
10828,Grace Thomas,Critical,6,22,2026,154
10829,Peggy Miller,High,3,12,2026,241
10830,Trent Garcia,High,1,8,2026,143
10831,Xander Taylor,High,12,5,2024,63
10832,Victor Walker,Critical,6,25,2026,350
10833,Mike LovelacePoe,High,11,14,2024,278
10834,Mark Thompson,Critical,7,7,2023,223
10835,Eve Taylor,Low,7,26,2023,36
10836,Mike Davis,Low,9,17,2026,83
10837,Mike Thomas,Low,5,7,2023,197
10838,Peggy Martin,Low,5,1,2026,117
10839,Hannah Taylor,Medium,1,27,2024,284
10840,Tim Jones,Low,4,2,2025,362
10841,Sky Davis,Low,10,17,2025,234
10842,Zach Roberts,Low,6,10,2026,153
10843,Mallory Thomas,Critical,7,8,2026,143
10844,Linda Musk,Medium,12,16,2023,256
10845,Heidi Hall,Critical,6,15,2025,350
10846,Aaron White,Low,4,26,2026,188
10847,Hannah Hernandez,Low,7,21,2025,261
10848,Ada White,Low,12,21,2023,249
10849,Ivan Hill,Critical,10,11,2024,209
10850,Diana Turner,Medium,12,20,2023,144
10851,Ian Smith,High,4,13,2024,323
10852,Ethan Jackson,Medium,1,22,2023,262
10853,Mark Adams,High,11,3,2025,143
10854,Mallory Hill,Critical,4,22,2023,322
10855,Alice Mitchell,Medium,1,15,2024,149
10856,Eve Lopez,Low,6,28,2024,237
10857,Sybil Carter,Critical,10,20,2026,116
10858,Bill Anderson,Low,5,1,2024,51
10859,Alan Phillips,Critical,8,5,2026,237
10860,Mallory Ross,Low,9,24,2026,312
10861,Sybil Phillips,Critical,4,17,2026,299
10862,Mike King,Critical,3,4,2026,187
10863,Heidi Jobs,Critical,5,7,2025,170
10864,Grace Scott,Medium,3,23,2024,315
10865,Aaron Musk,Critical,9,14,2024,12
10866,Sybil Harris,Critical,6,16,2026,53
10867,Sky Johnson,Critical,5,20,2023,323
10868,Alice Wilson,Medium,10,17,2025,255
10869,Heidi Harris,Low,8,22,2025,269
10870,Grace Scott,Low,12,13,2026,274
10871,Uma Thomas,Critical,5,25,2023,189
10872,Zach Allen,Low,7,8,2026,338
10873,Bob Roberts,Medium,7,23,2023,246
10874,Carol Garcia,Medium,9,19,2026,25
10875,Mallory Martin,Low,3,12,2023,57
10876,Linda Thompson,Critical,7,28,2023,227
10877,Grace Phillips,High,11,15,2025,166
10878,David Thomas,Medium,1,14,2026,49
10879,Karl Green,Low,6,4,2024,71
10880,Laura Johnson,High,6,23,2024,313
10881,Niaj Ross,Critical,10,10,2023,88
10882,Judy Harris,Medium,6,7,2023,352
10883,Hannah Anderson,Low,9,21,2023,353
10884,Jeff Martin,Critical,7,20,2023,181
10885,Aaron Ross,Critical,4,23,2025,314
10886,Grace Miles,Critical,7,24,2023,308
10887,Ada Musk,Critical,2,14,2023,46
10888,Tim Moore,Critical,7,5,2025,170
10889,Bob Moore,Medium,1,28,2026,258
10890,Fiona Brown,Medium,11,28,2024,210
10891,Steve Jones,High,8,22,2025,235
10892,David Walker,High,9,10,2024,30
10893,Niaj Harris,Medium,12,15,2024,186
10894,Uma Thomas,Medium,9,26,2024,204
10895,Quentin Gonzalez,Medium,10,26,2026,210
10896,Tim Baker,High,7,14,2026,89
10897,Uma Garcia,Medium,1,15,2025,103
10898,Diana King,Critical,4,18,2024,277
10899,Victor Carter,High,9,10,2024,61
10900,Kevin Nelson,High,11,19,2025,117
10901,Mark King,Critical,9,1,2026,151
10902,Laura Taylor,High,4,9,2025,359
10903,Rupert White,High,9,27,2026,88
10904,Ivan King,Medium,12,12,2026,358
10905,Ethan LovelacePoe,High,5,12,2025,208
10906,Grace King,Critical,12,6,2026,271
10907,Trent Taylor,Critical,7,11,2023,278
10908,Bill Moore,Critical,10,11,2023,277
10909,Jasmine Johnson,Medium,10,18,2023,250
10910,Bob Jobs,High,7,2,2023,56
10911,Eve Jobs,High,10,28,2023,135
10912,Niaj Baker,Medium,8,22,2026,285
10913,Heidi Lopez,High,8,3,2024,227
10914,Kevin Ross,High,10,24,2025,287
10915,Ada Lopez,Low,6,2,2023,30
10916,Judy Moore,Low,12,27,2026,165
10917,Mike Roberts,Low,12,17,2023,9
10918,Grace Jobs,Medium,11,12,2023,120
10919,David King,Critical,9,2,2024,118
10920,Uma Scott,High,2,10,2023,174
10921,Grace Jobs,Low,3,13,2025,193
10922,Hannah Thompson,Critical,12,8,2024,147
10923,Bill Scott,Low,12,6,2023,107
10924,Sky Gonzalez,Low,8,10,2026,158
10925,Xander King,High,10,26,2024,336
10926,Judy Lopez,High,1,2,2024,365
10927,Laura Phillips,Medium,9,13,2025,354
10928,Uma Jones,Low,12,15,2026,93
10929,Bill Jones,High,9,13,2025,120
10930,Ada Hernandez,Low,1,16,2023,296
10931,Mallory Young,Low,12,10,2025,362
10932,Heidi Turing,Medium,8,2,2025,290
10933,Diana Carter,Critical,4,27,2024,244
10934,Yvonne Lopez,Medium,3,5,2024,292
10935,Nancy Williams,Low,11,16,2024,31
10936,Ian Perez,Low,4,6,2023,114
10937,Sky Thompson,Low,6,7,2025,345
10938,Bob Carter,Low,3,4,2024,74
10939,Alan Perez,High,2,18,2025,105
10940,Kevin Johnson,Critical,11,13,2025,199
10941,Judy Johnson,Medium,8,4,2024,129
10942,Trent Gates,Low,7,2,2023,11
10943,Trent Carter,Low,4,14,2025,153
10944,Ian Jobs,Critical,3,21,2025,68
10945,Grace Wilson,High,3,4,2026,311
10946,Karl Brown,Critical,6,24,2026,316
10947,Nancy White,High,1,6,2023,134
10948,Mike Johnson,Low,9,1,2024,179
10949,Heidi Scott,High,5,28,2023,63
10950,Sybil Carter,Medium,9,17,2024,33
10951,Linda Lewis,High,2,3,2023,345
10952,Quentin King,Low,12,4,2025,232
10953,Jeff Gonzalez,Medium,1,20,2023,79
10954,Wendy Wilson,Medium,11,12,2023,80
10955,Yvonne LovelacePoe,High,10,14,2023,11
10956,Victor Williams,Medium,3,1,2023,190
10957,Ada Perez,High,5,17,2025,345
10958,Alice Mitchell,High,5,28,2023,195
10959,Grace Phillips,High,8,25,2024,298
10960,Carol Brown,Critical,10,9,2026,176
10961,Elon Anderson,Medium,9,13,2026,209
10962,Hannah Musk,Low,7,22,2026,55
10963,David Hill,Critical,3,8,2023,348
10964,George Garcia,Medium,4,3,2023,57
10965,Niaj Taylor,Critical,8,9,2025,229
10966,Carlos Miller,Low,2,15,2025,26
10967,Victor White,Critical,8,26,2025,266
10968,David Green,Low,12,18,2023,278
10969,Hannah Miller,Low,12,28,2023,279
10970,Nancy Martin,Medium,11,11,2026,238
10971,Victor White,Low,8,15,2026,248
10972,David Ross,Medium,9,12,2023,92
10973,Bill White,High,9,22,2023,323
10974,Ethan Miles,Medium,5,22,2025,11
10975,Carol Moore,Critical,3,26,2025,37
10976,Steve Scott,Critical,11,2,2023,85
10977,Eve LovelacePoe,Low,6,8,2025,5
10978,Kevin Williams,Low,7,5,2024,213
10979,Bob Wright,Medium,1,12,2024,174
10980,Peggy Thompson,Medium,7,9,2026,155
10981,Alice Hall,Low,2,9,2023,73
10982,Sky Smith,Medium,11,27,2023,303
10983,Judy Musk,Low,4,7,2025,364
10984,Niaj Allen,Low,2,11,2026,313
10985,Jeff LovelacePoe,Medium,10,4,2026,45
10986,Rupert Gonzalez,Medium,8,11,2026,250
10987,Alan Wilson,High,12,1,2023,29
10988,Aaron Musk,Medium,3,11,2026,65
10989,Niaj Jones,High,6,12,2024,293
10990,Hannah Johnson,Low,1,17,2025,318
10991,Carlos Perez,High,11,2,2025,103
10992,Ivan Hernandez,Low,7,20,2025,243
10993,Frank White,High,10,6,2023,274
10994,Karl Zuckerberg,High,2,23,2024,124
10995,Mark Lopez,Medium,4,4,2026,263
10996,Wendy Lopez,Low,5,10,2025,114
10997,Uma Turner,Medium,7,22,2025,73
10998,Aaron Hall,Critical,5,1,2023,8
10999,Mallory Gonzalez,Medium,1,12,2026,241
11000,Quentin Gates,Medium,4,25,2024,109
